#TYPE Microsoft.Azure.Commands.Resources.Models.Authorization.PSRoleDefinition
"Name","Id","IsCustom","Description","Actions","NotActions","DataActions","NotDataActions","AssignableScopes"
"Lab Creator","b97fb8bc-a8b2-4522-a38b-dd33c7e65ead","False","Lets you create, manage, delete your managed labs under your Azure Lab Accounts.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Log Analytics Contributor","92aaf0da-9dab-42b6-94a3-d43ce8d16293","False","Log Analytics Contributor can read all monitoring data and edit monitoring settings. Editing monitoring settings includes adding the VM extension to VMs; reading storage account keys to be able to configure collection of logs from Azure Storage; creating and configuring Automation accounts; adding solutions; and configuring Azure diagnostics on all Azure resources.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Log Analytics Reader","73c42c96-874c-492b-b04d-ab87d138a893","False","Log Analytics Reader can view and search all monitoring data as well as and view monitoring settings, including viewing the configuration of Azure diagnostics on all Azure resources.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Logic App Contributor","87a39d53-fc1b-424a-814c-f7e04687dc9e","False","Lets you manage logic app, but not access to them.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Logic App Operator","515c2055-d9d4-4321-b1b9-bd0c9a0f79fe","False","Lets you read, enable and disable logic app.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Managed Application Operator Role","c7393b34-138c-406f-901b-d8cf2b17e6ae","False","Lets you read and perform actions on Managed Application resources","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Managed Applications Reader","b9331d33-8a36-4f8c-b097-4f54124fdb44","False","Lets you read resources in a managed app and request JIT access.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Managed Identity Contributor","e40ec5ca-96e0-45a2-b4ff-59039f2c2b59","False","Create, Read, Update, and Delete User Assigned Identity","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Managed Identity Operator","f1a07417-d97a-45cb-824c-7a7467783830","False","Read and Assign User Assigned Identity","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Management Group Contributor","5d58bcaf-24a5-4b20-bdb6-eed9f69fbe4c","False","Management Group Contributor Role","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Management Group Reader","ac63b705-f282-497d-ac71-919bf39d939d","False","Management Group Reader Role","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Monitoring Contributor","749f88d5-cbae-40b8-bcfc-e573ddc772fa","False","Can read all monitoring data and update monitoring settings.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Monitoring Metrics Publisher","3913510d-42f4-4e42-8a64-420c390055eb","False","Enables publishing metrics against Azure resources","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Monitoring Reader","43d0d8ad-25c7-4714-9337-8ba259a9fe05","False","Can read all monitoring data.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Network Contributor","4d97b98b-1d4f-4787-a291-c67834d212e7","False","Lets you manage networks, but not access to them.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"New Relic APM Account Contributor","5d28c62d-5b37-4476-8438-e587778df237","False","Lets you manage New Relic Application Performance Management accounts and applications, but not access to them.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Owner","8e3af657-a8ff-443c-a75c-2fe8c4bcb635","False","Lets you manage everything, including access to resources.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Reader","acdd72a7-3385-48ef-bd42-f606fba81ae7","False","Lets you view everything, but not make any changes.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Reader and Data Access","c12c1c16-33a1-487b-954d-41c89c60f349","False","Lets you view everything but will not let you delete or create a storage account or contained resource. It will also allow read/write access to all data contained in a storage account via access to storage account keys.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Redis Cache Contributor","e0f68234-74aa-48ed-b826-c38b57376e17","False","Lets you manage Redis caches, but not access to them.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Resource Policy Contributor (Preview)","36243c78-bf99-498c-9df9-86d9f8d28608","False","(Preview) Backfilled users from EA, with rights to create/modify resource policy, create support ticket and read resources/hierarchy.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
